dir,iot,ext,sport,dport,sizeBin,label
1,172.16.7.5,192.168.1.6,6.32862,6.22,M,login
1,172.16.5.8,172.16.1.9,6.54434,6.22,M,login
1,172.16.3.6,172.16.4.8,6.60558,6.22,M,login
1,172.16.7.6,192.168.1.6,6.38012,6.22,M,login
1,172.16.3.4,172.16.4.7,6.55550,6.22,M,login
1,172.16.4.5,172.16.5.13,6.47298,6.22,M,login
1,172.16.2.9,192.168.1.41,6.33808,6.22,M,login
1,172.16.1.13,172.16.2.8,6.34254,6.22,M,login
1,172.16.2.14,172.16.4.7,6.39220,6.22,M,login
1,172.16.7.6,172.16.4.7,6.43072,6.22,M,login
1,172.16.2.9,172.16.4.8,6.59194,6.22,M,login
1,172.16.1.8,192.168.1.6,6.40704,6.22,M,login
1,172.16.4.4,172.16.5.4,6.42350,6.22,M,login
1,172.16.4.5,192.168.1.6,6.37806,6.22,M,login
1,172.16.7.5,192.168.1.6,6.33682,6.22,M,login
1,172.16.4.9,172.16.3.7,6.48536,6.22,M,login
1,172.16.7.6,172.16.6.12,6.51752,6.22,M,login
1,172.16.1.10,172.16.4.8,6.55370,6.22,M,login
1,172.16.5.6,172.16.6.14,6.51582,6.22,M,login
1,172.16.1.11,192.168.1.6,6.45656,6.22,M,login
1,172.16.2.9,172.16.4.8,6.59308,6.22,M,login
1,172.16.2.12,172.16.7.10,6.58840,6.22,M,login
1,172.16.2.13,172.16.4.13,6.60830,6.22,M,login
1,172.16.3.10,172.16.7.11,6.36930,6.22,M,login
1,172.16.3.4,172.16.4.7,6.55672,6.22,M,login
1,172.16.2.14,172.16.7.13,6.51592,6.22,M,login
1,172.16.5.8,172.16.7.10,6.54344,6.22,M,login
1,172.16.3.4,192.168.1.41,6.58724,6.22,M,login
1,172.16.3.6,172.16.5.12,6.34514,6.22,M,login
1,172.16.4.9,172.16.3.7,6.48482,6.22,M,login
1,172.16.5.8,172.16.7.10,6.54846,6.22,M,login
1,172.16.7.6,172.16.6.12,6.51592,6.22,M,login
1,172.16.1.8,172.16.6.12,6.50104,6.22,M,login
